,,,pack size (where aplicable),Cost,Quant,Total for item,,Link,Notes,,,,,,,
,peopoly lancer long,,,64.99,1,64.99,,https://peopoly.net/products/magneto-x-lancer-melt-zone?variant=49972216103194,"120w heater on it, 15 bucks of the prices is shipping",,,,,,,
,HGX 2.0 gears + hardware,,,13.85,1,13.85,,https://www.aliexpress.com/item/1005007316630515.html,comes with other hardware needed,,,,,,,
,4015 fan,,,2.37,1,2.37,,https://www.aliexpress.com/item/1005004832141450.html,for low speed PLA,,,,,,,
,2510 fan,,,1.62,1,1.62,,https://www.aliexpress.com/item/1005003595630530.html,fan,,,,,,,
,LDO 36STH20-1004AHG,,,24.11,1,24.11,,https://www.aliexpress.com/item/1005002899860754.html,"Allready own, using from infil v1",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,OTHER,,,,,,,,,,,,,,,
,voron 0 bed,,,13.73,1,13.73,,https://www.aliexpress.com/item/1005007347759654.html,,,,,,,,
,bed springs,,,1.09,1,1.09,,https://www.aliexpress.com/item/33000218395.html,,,,,,,,
,gt2 6mm closed loop belt for belt,,,1.94,1,0.00,,https://www.aliexpress.com/item/1005004019523225.html,2gt 306,I allready own this,,,,,,
,motor heat sync,,,3.03,1,3.03,,https://www.aliexpress.com/item/4000723868050.html,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SHIPPING ,,,,,,,,,,,,,,,
,"If using JLC the (shipping + taxes + customs) are here, this assumes you used JLC every time I used it",,,90.94,1,90.94,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Total cost,,,,,,,,,,
,,,,,,668.07,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
